2026-09-06 13:31:07,971 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-06 13:31:07,971 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'Advanced RAG', traces at https://smith.langchain.com
2026-09-06 13:31:07,971 | INFO | hr_assistant.pipeline | Building vector store for documents at data\hr_policy.txt...
2026-09-06 13:31:07,971 | INFO | hr_assistant.vector_store | Checking if Qdrant vector store exists...
2026-09-06 13:31:08,997 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/exists "HTTP/1.1 200 OK"
2026-09-06 13:31:09,003 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 13:31:09,014 | INFO | hr_assistant.pipeline | No vector store found. Creating a new one...
2026-09-06 13:31:09,016 | INFO | hr_assistant.document_loader | Loading documents from data\hr_policy.txt...
2026-09-06 13:31:09,021 | INFO | hr_assistant.document_loader | Documents loaded successfully.
2026-09-06 13:31:09,023 | INFO | hr_assistant.splitter | Splitting documents into chunks of size 1000 with overlap 200...
2026-09-06 13:31:09,027 | INFO | hr_assistant.vector_store | Creating Qdrant vector store...
2026-09-06 13:31:09,027 | INFO | hr_assistant.embeddings | Creating embeddings using model: jina-embeddings-v2-base-en...
2026-09-06 13:31:09,027 | INFO | hr_assistant.embeddings | Embeddings created successfully.
2026-09-06 13:31:09,027 | INFO | hr_assistant.vector_store | Qdrant vector store created successfully.
2026-09-06 13:31:10,413 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 15:00:55,444 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-06 15:00:55,454 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'Advanced RAG', traces at https://smith.langchain.com
2026-09-06 15:00:55,454 | INFO | hr_assistant.pipeline | Building vector store for documents at data\hr_policy.txt...
2026-09-06 15:00:55,454 | INFO | hr_assistant.vector_store | Checking if Qdrant vector store exists...
2026-09-06 15:00:56,967 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/exists "HTTP/1.1 200 OK"
2026-09-06 15:00:56,981 | INFO | hr_assistant.pipeline | No vector store found. Creating a new one...
2026-09-06 15:00:56,982 | INFO | hr_assistant.document_loader | Loading documents from data\hr_policy.txt...
2026-09-06 15:00:56,982 | INFO | hr_assistant.document_loader | Documents loaded successfully.
2026-09-06 15:00:56,982 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 15:00:56,982 | INFO | hr_assistant.splitter | Splitting documents into chunks of size 1000 with overlap 200...
2026-09-06 15:00:56,999 | INFO | hr_assistant.vector_store | Creating Qdrant vector store...
2026-09-06 15:00:56,999 | INFO | hr_assistant.embeddings | Creating embeddings using model: jina-embeddings-v2-base-en...
2026-09-06 15:00:57,007 | INFO | hr_assistant.embeddings | Embeddings created successfully.
2026-09-06 15:00:57,007 | INFO | hr_assistant.vector_store | Qdrant vector store created successfully.
2026-09-06 15:00:59,396 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
